date|time|description|vendor|amount
2023-04-15|11:15|Invoice|Joe|1500.00
2023-04-20|19:30:00|Gasoline|Gas Station XYZ|-40.00
2023-04-18|08:45:00|Electric bill|Utility Company|-75.00
2022-07-20|17:00:00|Phone Bill Payment|Telecom|-60.00
2022-10-30|15:20:00|Car Repair|Garage|-500.00
2023-04-22|10:00:00|Software license renewal|Company XYZ|-299.99
2023-04-25|11:00:00|Online course subscription|Online Academy|-29.99
2023-04-17|14:20:10|Monthly subscription|Netflix|-12.99
2023-04-15|10:13:25|Ergonomic Keyboard|Amazon|-89.50
2023-04-27|15:30:00|Deposit|Bonus|500.00
2024-05-01|10:30:00|Bonus|Employer|1000.00
2023-04-15|11:15:00|Invoice1001Paid|Joe|1500.00
2023-04-28|12:00:00|Refund|Online Store|-20.00
2023-04-29|09:45:00|Deposit|Freelance Work|800.00
2022-09-14|09:30:00|Stock Dividend|Investment|300.00
2024-03-05|14:55:00|Travel Expense|Airlines|-350.00
2024-05-02|18:15:23|Laptop Charger|Apple|50.00
2024-05-05|16:45:00|Gym Membership|Fitness Club|-75.00
2023-06-02|13:45:00|Refund|Retailer|50.00
2022-08-20|09:45:12|Monthly Salary|Employer|3000.00
2024-05-20|12:00:00|Magazine Subscription Renewal|Publisher|-25.00
2024-05-09|11:00:00|Phone Upgrade|Mobile Store|-700.00
2019-03-10|11:30:00|Movie Tickets|Cinema|-30.00
2023-04-15|10:13:25|erg key|Amazon|-89.50
2022-11-22|16:30:45|Shopping Expense|Grocery|-75.50
2024-05-11|11:00:00|Birthday Gift|Gift Shop|-50.00
2023-04-30|17:00:00|Deposit|Gift|100.00
2024-05-07|12:30:00|Dentist Appointment|Dental Clinic|-200.00
2023-04-16|09:30:45|Office supplies|Staples|-45.75
2023-04-23|18:30:15|Groceries|Supermarket ABC|-85.20
2022-01-10|10:05:20|Investment Dividend|Bank|200.00
2022-04-15|11:15:00|Invoice|Joe|1500.00
2022-03-01|08:00:00|Rent Payment|Landlord|-1200.00
2024-05-12|09:00:00|Holiday Dinner|Restaurant XYZ|-120.00
2023-01-10|10:05:20|Investment Dividend|Bank|200.00
2023-04-26|08:00:00|Deposit|Salary|2500.00
2023-04-24|13:45:00|Doctor's appointment|Medical Clinic|-150.00
2023-04-21|16:55:30|Book purchase|Bookstore123|-30.50
2024-05-23|18:00:00|Movie Night|Cinema|-35.00
2023-04-25|11:00:00|Online course subscription|Online Academy|-29.99
2022-11-18|10:45:00|Phone Repair|Phone Store|-100.00
2024-05-10|14:00:00|Home Internet Payment|ISP|-80.00
2022-06-20|10:30:00|Online Course|E-Learning Co.|-99.00
2024-05-27|16:15:00|Charity Donation|NGO|-50.00
2024-05-21|14:20:00|Music Streaming Service|Music App Co.|-9.99
2023-04-25|11:00:00|Online course subscription|Online Academy|-29.99
2023-04-15|11:15|Invoice|Joe|1500.00
2024-05-14|10:45:00|Tax Preparation Fee|Accounting Firm|-300.00
2024-05-18|09:30:00|Oil Change|Auto Service Center|-45.00
2024-05-16|14:30:00|Health Insurance Premium|Insurance Company|-250.00
2023-04-24|13:45:00|Doctor's appointment|Medical Clinic|-150.00
2019-08-14|12:00:00|Lunch Meeting|Restaurant XYZ|-50.00
2023-04-15|10:13:25|Ergonomic Keyboard|Amazon|-89.50
2023-04-20|19:30:00|Gasoline|Gas Station XYZ|-40.00
2023-04-22|10:00:00|Software license renewal|Company XYZ|-299.99
2024-05-28|11:11:11|Online Course|E-Learning Co.|-99.00
2024-05-03|09:00:00|Office Supplies|Staples|-40.00
2024-05-05|17:30:00|Cinco de Mayo Celebration|Mexican Restaurant|-75.00
2024-05-01|12:30:00|Home Improvement|Hardware Store|-85.00
2023-04-15|11:15:00|Invoice1001Paid|Joe|1500.00
2023-04-15|10:13:25|erg key|Amazon|-89.50
2022-07-15|09:30:00|Internet Bill|ISP|-60.00
2022-03-05|14:00:00|Car Service|Auto Shop|-200.00
2024-05-30|20:00:00|Christmas Gifts|Various Stores|-300.00
2023-04-28|12:00:00|Refund|Online Store|-20.00
2024-05-25|10:45:00|Computer Repair|Tech Services|-120.00
2023-04-29|09:45:00|Deposit|Freelance Work|800.00
2022-08-02|12:00:00|Grocery Shopping|Supermarket|-120.00
2022-09-05|14:22:30|Utility Bill Payment|UtilityCo.|-150.00
2024-05-23|17:00:00|Movie Night|Cinema|-35.00
2024-05-07|12:30:00|Dentist Appointment|Dental Clinic|-200.00
2023-04-15|10:13:25|Ergonomic Keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice1001Paid|Joe|1500.00
2022-11-18|10:45:00|Phone Repair|Phone Store|-100.00
2024-05-05|16:45:00|Gym Membership|Fitness Club|-75.00
2024-05-02|18:15:23|Laptop Charger|Apple|50.00
2022-01-10|10:05:20|Investment Dividend|Bank|200.00
2023-04-16|09:30:45|Office supplies|Staples|-45.75
2023-04-18|08:45:00|Electric bill|Utility Company|-75.00
2023-04-23|18:30:15|Groceries|Supermarket ABC|-85.20
2023-04-21|16:55:30|Book purchase|Bookstore123|-30.50
2022-10-30|15:20:00|Car Repair|Garage|-500.00
2024-05-11|11:00:00|Birthday Gift|Gift Shop|-50.00
2023-04-26|08:00:00|Deposit|Salary|2500.00
2023-04-17|14:20:10|Monthly subscription|Netflix|-12.99
2024-05-10|14:00:00|Home Internet Payment|ISP|-80.00
2022-06-20|10:30:00|Online Course|E-Learning Co.|-99.00
2022-08-20|09:45:12|Monthly Salary|Employer|3000.00
2022-11-22|16:30:45|Shopping Expense|Grocery|-75.50
2023-04-15|11:15|Invoice|Joe|1500.00
2023-04-24|13:45:00|Doctor's appointment|Medical Clinic|-150.00
2024-05-18|09:30:00|Oil Change|Auto Service Center|-45.00
2024-05-14|10:45:00|Tax Preparation Fee|Accounting Firm|-300.00
2024-05-16|14:30:00|Health Insurance Premium|Insurance Company|-250.00
